,Ship To Name,forcasted_line_count_int
22,JARED 2406,1
132,JARED 2540,1
557,KAY JEWELERS 1128,1
587,KAY JEWELERS 1185,1
558,KAY JEWELERS 1130,1
135,JARED 2543,1
136,JARED 2544,1
562,KAY JEWELERS 1135,1
563,KAY JEWELERS 1138,1
137,JARED 2546,1
139,JARED 2548,1
142,JARED 2551,1
559,KAY JEWELERS 1132,1
148,JARED 2560,1
590,KAY JEWELERS 1189,1
591,KAY JEWELERS 1191,1
623,KAY JEWELERS 128,1
624,KAY JEWELERS 1282,1
625,KAY JEWELERS 1283,1
628,KAY JEWELERS 1289,1
629,KAY JEWELERS 1291,1
630,KAY JEWELERS 1317,1
160,JARED 2574,1
156,JARED 2569,1
632,KAY JEWELERS 1338,1
634,KAY JEWELERS 1340,1
635,KAY JEWELERS 1341,1
636,KAY JEWELERS 1343,1
638,KAY JEWELERS 1348,1
639,KAY JEWELERS 1352,1
161,JARED 2578,1
14,GORDON'S JEWELERS 4415,1
633,KAY JEWELERS 1339,1
318,JARED 8392,1
154,JARED 2566,1
613,KAY JEWELERS 1244,1
149,JARED 2561,1
152,JARED 2564,1
286,JARED 8345,1
598,KAY JEWELERS 1208,1
283,JARED 8315,1
602,KAY JEWELERS 1217,1
603,KAY JEWELERS 1218,1
617,KAY JEWELERS 1257,1
604,KAY JEWELERS 1221,1
606,KAY JEWELERS 1226,1
607,KAY JEWELERS 1227,1
608,KAY JEWELERS 1228,1
609,KAY JEWELERS 1231,1
278,JARED 8306,1
611,KAY JEWELERS 1237,1
612,KAY JEWELERS 1238,1
605,KAY JEWELERS 1224,1
13,CPT NETWORK SOLUTIONS,1
548,KAY JEWELERS 1112,1
124,JARED 2528,1
86,JARED 2483,1
387,JARED 8579,1
